Job Offer Title,Domain Knowledge,Countries,Area of Expertise,Company,Subjects,Researcher Profile,Hours/Week
Data Analyst , Deep Learning , United Kingdom,Machine Learning,Centro de Biología Molecular Severo Ochoa,Statistics and Probability,Data Scientist;"First Stage Researcher (R1) ,30
Data Analyst , Social Media Analytics , Portugal,Statistical Analysis,Rudjer Boskovic Institute,Machine Learning Algorithms,Contest point 2 ? Senior Scientist - Returnee;"Leading Researcher (R4)",42
Data Analyst , Statistical Analysis , United Kingdom,Data Mining,Karlsruhe Institute of Technology (KIT),Data Visualization Techniques,A High Performance Data Acquisition Framework for Decentralized Scientific Experiments;"First Stage Researcher (R1) ,36
Data Analyst , Quantitative Analysis , Portugal,Data Visualization,Karlsruhe Institute of Technology (KIT),"Programming Languages (Python, R, SQL)",IPE 07-21 Master Thesis: A High Performance Data Acquisition Framework for Decentralized Scientific...;"First Stage Researcher (R1) ,30
Data Analyst , Human Resource Analytics , United Kingdom,Big Data Analytics,University of Salzburg,"Big Data Technologies (Hadoop, Spark)",Data Scientist / Computational Biologist;"Recognised Researcher (R2) ,34
Data Analyst , Human Resource Analytics , Switzerland,Predictive Modeling,European Molecular Biology Laboratory,Data Mining and Cleaning,Bioinformatics Software Engineer;"First Stage Researcher (R1)";"European Molecular Biology Laboratory";"Biological sciences ,48
Data Analyst , Public Policy Analytics , France,Natural Language Processing,European Molecular Biology Laboratory,Time Series Analysis,Microbiological standards officer and project coordinator;"First Stage Researcher (R1)";"European Molecular Biology Laboratory";"Biological sciences ,44
Data Analyst , Sports Analytics , Netherlands,Data Warehousing,Radboud University Medical Center (Radboudumc),Natural Language Processing (NLP),Bioinformatician multi-omics;"Recognised Researcher (R2)";"Radboud University Medical Center (Radboudumc)";"Medical sciences";"36.0";"Netherlands";"Nijmegen";"https://www.academictransfer.com/305757/bioinformatician-multi-omics/apply/#apply";"https://euraxess.ec.europa.eu/jobs/701011",47
Data Analyst , Web Analytics , Spain,Quantitative Analysis,Institute of Image-Guided Surgery of Strasbourg,Predictive Modeling,Research Scientist;"First Stage Researcher (R1)";"Institute of Image-Guided Surgery of Strasbourg";"Computer science,36
Data Analyst , Social Media Analytics , Belgium,Business Intelligence,Granutools,Feature Engineering,Particle Scientist;"Recognised Researcher (R2) ,39
Data Analyst , Public Policy Analytics , Ireland,Deep Learning,ETH Zurich,Deep Learning,Senior Data Scientist;"First Stage Researcher (R1)";"ETH Zurich";"Computer science,49
Data Scientist , Social Media Analytics , Finland,Data Engineering,ARQUIMEA GROUP,Data Warehousing,Senior Data Scientist (# of pos: 2);"First Stage Researcher (R1) ,37
Data Scientist , Behavioral Analytics , Netherlands,Time Series Analysis,Flanders Institute for Biotechnology (VIB),Statistical Modeling,Data Scientist / Statistician;"First Stage Researcher (R1) ,35
Data Analyst , Energy Analytics , Greece,Feature Engineering,National Information Processing Institute National Research Institute,Exploratory Data Analysis (EDA),announces a competition for the position of research scientist ? adjunct (# of pos: 2);"Recognised Researcher (R2)";"National Information Processing Institute National Research Institute";"Computer science,35
Data Scientist , Human Resource Analytics , Norway,Experimental Design,National Information Processing Institute National Research Institute,Web Scraping and Data Collection,announces a competition for the position of research scientist ? adjunct;"Recognised Researcher (R2)";"National Information Processing Institute National Research Institute";"Computer science,49
Data Analyst , Data Mining , Finland,Data Preprocessing,Aix-Marseille Université,Bayesian Methods,Postdoc in biochemical data wrangling and curation;"Recognised Researcher (R2)";"Aix-Marseille Université";"Chemistry,40
Data Scientist , Spatial Analysis , Germany,Data Cleaning,"Engineering ,Ethics in health sciences ,Mathematics ,Neurosciences ,Sociology",A/B Testing and Experimentation,"Research Associate, Clinical Data Scientist;""Recognised Researcher (R2) ",42
Data Scientist , Deep Learning , France,Pattern Recognition,European XFEL,"Cloud Computing Platforms (AWS, Azure, GCP)",Software Developer for cloud-based data analysis (f/m/d);"First Stage Researcher (R1)";"European XFEL";"Computer science,41
Data Scientist , Forecasting , Switzerland,Neural Networks,Deutsches Zentrum für Luft - und Raumfahrt (DLR),Data Engineering,59502: Computer scientist (f/m/x) - Lead of the research group ?Data access and processing?;"Leading Researcher (R4)";"Deutsches Zentrum für Luft - und Raumfahrt (DLR)";"Engineering ,30
Data Analyst , Risk Analysis , Norway,Information Retrieval,Evotec AG,Geospatial Analysis,Research Scientist (f/m/d) - Computational Biology - OMICs data analysis;"First Stage Researcher (R1) ,44
Data Analyst , Supply Chain Analytics , France,A/B Testing,Engineering,"Dashboard Development (Tableau, Power BI)","Research Fellow, Grab-NUS AI Lab;""First Stage Researcher (R1) ",44
Data Analyst , Behavioral Analytics , Netherlands,Text Mining,"Biological sciences ,Engineering ,Mathematics ,Medical sciences",NoSQL Databases,"Senior Research Scientist, Bioinformatician-Cancer Science Institute;""First Stage Researcher (R1) ",45
Data Scientist , Quantitative Analysis , Ireland,Database Management,"Biological sciences ,Engineering ,Mathematics ,Medical sciences",Version Control (Git),"Senior Research Scientist, Bioinformatician Cancer Science Institute;""First Stage Researcher (R1) ",38
Data Analyst , Forecasting , Poland,Regression Analysis,Game and Wildlife Conservation Trust,Feature Selection Techniques,Senior fisheries statistician/scientist;"First Stage Researcher (R1) ,38
Data Analyst , Machine Learning , Sweden,Optimization Techniques,Captor Therapeutics Inc.,Data Ethics and Privacy,Senior Scientist ? Medicinal Chemistry;"First Stage Researcher (R1) ,45
Data Analyst , Energy Analytics , Greece,Cluster Analysis,ILL,Data Governance,Post-Doctoral fellow in Data Science;"Recognised Researcher (R2) ,43
Data Scientist , Image Processing , United Kingdom,Data Architecture,Karlsruher Institut für Technologie (KIT),Robotics Process Automation (RPA),Research associate (f/m/d) Software Development;"Recognised Researcher (R2) ,43
